"Dim5","gene","rank"
0.0674704015254974,"RP11-368L12.1",552
0.0674702003598213,"SRRM2",553
0.0674460157752037,"FAM127A",554
0.0674154460430145,"MTCH1",555
0.0670405849814415,"PPP2CB",556
0.0662991404533386,"PCSK1N",557
0.066280223429203,"VSTM2L",558
0.0661761313676834,"CTXN1",559
0.0661706998944283,"MVD",560
0.0660713016986847,"PEA15",561
0.0660104602575302,"AGAP3",562
0.0658540800213814,"ATP6AP2",563
0.0656274780631065,"OCIAD1",564
0.0656260326504707,"APBB1",565
0.0655642151832581,"MAP1LC3A",566
0.0652324482798576,"NAP1L2",567
0.0651440918445587,"CPNE4",568
0.0650657340884209,"PTMS",569
0.065026693046093,"LYNX1",570
0.0649707764387131,"NUDT3",571
0.064964659512043,"EFR3B",572
0.0648860707879066,"RP11-314P15.2",573
0.0647525861859322,"TPI1",574
0.0646983310580254,"EPHB6",575
0.0646085143089294,"LENG8",576
0.0645384192466736,"PDZD4",577
0.0645145177841187,"GPC1",578
0.0640877559781075,"MICAL2",579
0.0637719258666039,"RAPH1",580
0.0636731460690498,"COL26A1",581
0.0636515244841576,"SLC30A3",582
0.0635263025760651,"PAFAH1B2",583
0.0634469613432884,"DLGAP1-AS4",584
0.0631266981363297,"MTURN",585
0.0629350394010544,"SYNPR",586
0.0628054216504097,"STMN3",587
0.0627423524856567,"ARHGDIG",588
0.0625979602336884,"GRASP",589
0.0620067231357098,"NAP1L3",590
0.0619925335049629,"SYNPO",591
0.0615911744534969,"C11orf87",592
0.0614750161767006,"PGRMC1",593
0.0612797178328037,"REEP2",594
0.0612507723271847,"DMTN",595
0.0611612647771835,"AES",596
0.0611393712460995,"SPRED2",597
0.0606391429901123,"OLFM2",598
0.06043940782547,"RTF1",599
0.0604034774005413,"SYT5",600
0.0602293945848942,"SUMO3",601
0.0601612590253353,"LINC00824",602
0.0600029267370701,"CTBP1",603
0.0597620010375977,"NPTX2",604
0.059691347181797,"MAML3",605
0.058835182338953,"DSTN",606
0.0588282644748688,"RNF187",607
0.0585962533950806,"TMEM63B",608
0.0585682205855846,"BNIP3",609
0.0585619136691093,"CEND1",610
0.0584846548736095,"DNAJB2",611
0.0583714880049229,"HSP90B1",612
0.0582278668880463,"PLEKHB2",613
0.0579604357481003,"GABARAPL1",614
0.0579367764294147,"PCDH8",615
0.0579059943556786,"RYR3",616
0.0576073303818703,"CBX6",617
0.0574557855725288,"MPHOSPH8",618
0.0574065670371056,"RSRP1",619
0.0573879852890968,"NEFM",620
0.0571913234889507,"HMGCS1",621
0.0571058876812458,"MAPRE3",622
0.0570065826177597,"CDIP1",623
0.0569439604878426,"PNMA3",624
0.056702084839344,"TTYH3",625
0.0566490739583969,"KIF13A",626
0.0565850287675858,"YPEL3",627
0.0564843602478504,"STMN1",628
0.0564748607575893,"LINC00599",629
0.0561623685061932,"SDK1",630
0.056084617972374,"FSCN1",631
0.0556731708347797,"CRIP2",632
0.0555223487317562,"UBC",633
0.0555196925997734,"DKK3",634
0.0554584935307503,"SCOC",635
0.0554463714361191,"KCNJ4",636
0.055215235799551,"NCAN",637
