,0,1,2,3,4,5,6,7
EGFEM1P,1.240189,0.9520346,1.2813905,1.1762109,1.5490824,0.7768427,0.8077558,1.5345023
SEC62,1.822562,0.9944194,1.6559099,1.1280172,1.5470773,0.77610695,0.8358376,1.6773884
NLGN1,1.7265123,2.2588403,2.0174017,2.1838586,1.6690091,4.2376437,2.2065978,2.3297112
NAALADL2,1.7524252,0.8643066,1.2575547,1.428998,1.4286199,0.7106651,1.067619,1.3279759
RP11-33A14.1,1.7974867,1.294577,1.5276235,1.3504981,2.123631,0.90569824,1.1630331,1.495386
KCNMB2-AS1,1.3280666,0.8695985,1.5011439,1.224644,1.3756082,0.8207013,0.9306216,1.1182523
PEX5L,1.7573733,1.6635908,1.907374,1.4631363,1.6798128,3.063819,1.52839,1.857859
DGKG,1.7616246,0.8692035,1.2050881,1.3042961,1.499716,0.75424516,1.0240159,1.2436631
EIF4A2,1.7958227,1.0079507,1.3648499,1.4606736,1.2690916,0.90405804,1.2511444,1.1343036
LPP,1.18281,1.337777,1.1456366,1.5832752,1.6994079,1.1465604,1.3587022,1.9349384
ATP5I,1.0549625,0.95908904,1.1356468,1.1839179,1.340967,0.6357808,0.983632,1.4824941
CTBP1,1.2723508,0.5442177,1.1444837,0.9765664,0.9206161,0.50369626,1.0825173,1.2538368
C4orf48,1.2688516,0.8074664,1.3112878,1.1798706,1.338723,0.54292524,0.7865229,1.163222
NAT8L,1.2885073,0.95035005,0.81965274,1.1854125,1.2490753,0.53117853,0.8618899,1.4252687
RGS12,1.207069,0.7793773,1.2499421,1.249817,1.2007533,0.599984,0.7913098,0.9502002
CRMP1,1.5237752,0.57029897,1.309428,1.1319706,1.5156275,0.6164598,0.9349396,1.2391484
SLIT2,1.1464123,0.99992996,1.6288882,1.6866145,1.4480567,1.1946129,1.2817602,2.07662
TBC1D19,1.979369,0.8395581,1.3403772,1.4975529,1.2945834,1.2619684,1.613855,1.5013245
PCDH7,1.740753,1.8838311,2.2348793,1.6760514,2.4464428,2.9314446,1.8714349,1.7545809
NWD2,1.5977898,0.8198919,2.0607371,1.0967453,1.4814076,1.157865,1.1386102,1.7279271
UCHL1,1.446027,1.0987802,1.407802,1.60099,1.9654405,0.98150736,1.2927135,1.6321673
KCTD8,1.5222,0.9929015,1.2759255,1.3863499,1.2451123,0.58536786,1.1594856,1.3789158
OCIAD1,1.4844295,0.9758508,1.3780252,1.1948653,1.3396357,0.9982067,1.2793301,1.7001598
HOPX,1.6357319,0.6447147,1.0752414,1.0120589,1.2697283,0.8012374,0.8271289,1.2350886
LPHN3,1.6953727,1.8998235,2.1791706,2.1774242,1.8208619,3.8989227,1.6679574,1.7107792
